ID;TIPO  EXTINTOR;CAPACIDAD;UBICACION;Ultima recarga; Proxima recarga;REVISION 1;REVISION 2;REVISION 3;REVISION 4;FECHA PRUEBA HIDROSTATICA Ultima;FECHA PRUEBA HIDROSTATICA Proxima ;Manómetro bueno;Manómetro malo;Manija bueno;Manija malo;Pasador bueno;Pasador malo;Etiqueta bueno;Etiqueta malo;Pintura bueno;Pintura malo;Cilindro bueno;Cilindro malo;Señalizacion bueno;Señalizacion malo;OBSERVACIONES
1;CO2;20 LIBRAS ;PATIO GARITA (PREP.PASTA);jun-23;jun-24;;;;x;2023;2024;N/A;;X;;X;;X;;X;;X;;X;;
2;MULTIPRO;20 LIBRAS ;PLANTA DE AGUA (PREP.PASTA);sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
3;H2O;2.5 GLS;SALA DE REUNIONES MOLINOS (PREP.PASTA);jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
4;CO2;20 LIBRAS ;SALA DE REUNIONES MOLINOS (PREP.PASTA);dic-22;dic-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
5;CO2;15 LIBRAS;AMASADORA PRE. PASTAS;feb-23;feb-24;;X;;;;;N/A;;X;;X;;X;;X;;X;;X;;
6;MULTIPRO;20 LIBRAS ;ATOMIZADOR # 2 PRE. PASTAS ;jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
7;CO2;10 LIBRAS ;PREPARACION PASTA ;dic-22;dic-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
8;H2O;2.5 GLS;PREPARACION PASTA ;feb-23;feb-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
9;MULTIPRO;20 LIBRAS ;TALLER MANTENIMIENTO ;sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
10;CO2;15 LIBRAS;TALLER MANTENIMIENTO ;jun-23;jun-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
11;H2O;2.5 GLS;TALLER MANTENIMIENTO ;ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
12;CO2;15 LIBRAS;TALLER MANTENIMIENTO ;jun-23;jun-24;X;;;;;;N/A;;X;;X;;X;;X;;X;;X;;
13;CO2;10 LIBRAS ;PLANTA LAVADO PREP. PASTAS ;jun-23;jun-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
14;H2O;2.5 GLS;CARPINTERIA (PREP.PASTA);jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;FALTA  SEÑALIZAR 
15;MULTIPRO;10 LIBRAS ;TALLER MANTENIMIENTO PREPARACIÓN PASTA;dic-22;dic-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
16;CO2;20 LIBRAS ;MOLDURAS ;ene-23;ene-24;X;;;;;;N/A;;X;;X;;X;;X;;X;;X;;
17;MULTIPRO;10 LIBRAS ;MOLDURAS ;sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
18;CO2;20 LIBRAS ;MOLDURAS ;ene-23;ene-24;X;;;;;;N/A;;X;;X;;X;;X;;X;;X;;
19;CO2;20 LIBRAS ;ALMACEN MATERIALES ;jun-23;jun-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
20;MULTIPRO;20 LIBRAS ;ALMACEN MATERIALES ;jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
21;H2O;2.5 GLS;ALMACEN MATERIALES ;mar-23;mar-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
22;CO2;15 LIBRAS;ALMACEN MATERIALES ;jun-23;jun-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
23;CO2;10 LIBRAS ;ALMACEN MATERIALES ;jun-23;jun-24;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
24;CO2;20 LIBRAS ;PRODUCTOS ESPECIALES ;ene-23;ene-24;X;;;;;;N/A;;X;;X;;X;;X;;X;;X;;
25;MULTIPRO;10 LIBRAS ;PROD. ESPESPECIALES TALLER ;jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
26;MULTIPRO;10 LIBRAS ;TALLER ENGRANAJE AZULES ;jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
27;H2O;2.5 GLS;SALUD OCUPACIONAL ;ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
28;MULTIPRO;10 LIBRAS ;SALUD OCUPACIONAL ;sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
29;CO2;15 LIBRAS;SALUD OCUPACIONAL ;sep-22;sep-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
30;PQS ;150 LIBRAS;SALUD OCUPACIONAL ;jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
31;MULTIPRO;20 LIBRAS ;AMASADORA PARTE SUPERIOR (PREP. PASTA FILTRO);ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
32;H2O;2.5 GLS;RAMPLA SALIDA PATIOS (PASILLO PPAL);sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
33;MULTIPRO;20 LIBRAS ;RAMPLA SALIDA PATIOS (PASILLO PPAL);sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
34;CO2;20 LIBRAS ;RAMPLA SALIDA PATIOS (PASILLO PPAL);sep-23;sep-23;;;X;;REVISAR ;;N/A;;X;;X;;X;;X;;X;;X;;
35;CO2;10 LIBRAS ;RAMPLA SALIDA PATIOS (PASILLO PPAL);sep-22;sep-23;;X;;;;;N/A;;X;;X;;X;;X;;X;;X;;
36;CO2;15 LIBRAS;PRE. PAST. PASILLO PRINCIPAL (PASILLO PPAL);jun-23;jun-24;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
37;MULTIPRO;20 LIBRAS ;PRE. PAST. PASILLO PRINCIPAL (PASILLO PPAL);ago-23;ago-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
38;H2O;2.5 GLS;BAÑOS H-3 (PORCELANA);ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
39;CO2;10 LIBRAS ;BAÑOS H-3 (PORCELANA);jun-23;jun-24;;X;;;;;N/A;;X;;X;;X;;X;;X;;X;;
40;CO2;15 LIBRAS;PRENSAS  H-3 (PORCELANA);mar-23;mar-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
41;CO2;20 LIBRAS ;PLATOS  TALLER (FORMACIÓN PLATOS);dic-22;dic-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
42;CO2;10 LIBRAS ;PLATOS SALIDA PULIDORA (FORMACIÓN PLATOS);abr-23;abr-24;X;;;;STOCK 17;;N/A;;X;;X;;X;;X;;X;;X;;
43;CO2;20 LIBRAS ;PASILLO ESMALTE (FORMACIÓN PLATOS);ene-23;ene-24;X;;;;;;N/A;;X;;X;;X;;X;;X;;X;;
44;MULTIPRO;20 LIBRAS ;HORNO - 1 ESCALAS OFICINAS (PLATOS LOZA);abr-23;abr-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
45;CO2;15 LIBRAS;TALLER MANTENIMIENTO PLATOS;jun-23;jun-24;;;X;;¡?¡?;;N/A;;X;;X;;X;;X;;X;;X;;
46;MULTIPRO;10 LIBRAS ;H-10 CABINA  SUR (PLATOS LOZA);jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
47;CO2;10 LIBRAS ;H-1 CABINA NORTE (PLATOS LOZA);mar-23;mar-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
48;CO2;15 LIBRAS;CABINA PAP H-1 NORTE (PLATOS LOZA);sep-22;sep-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
49;CO2;15 LIBRAS;BANDA H-10 (PLATOS ESMALTE);jun-23;jun-24;;;X;;???;;N/A;;X;;X;;X;;X;;X;;X;;
50;CO2;20 LIBRAS ;OFICINA COORDNADORES H-1;abr-23;abr-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
51;MULTIPRO;10 LIBRAS ;VACIADO DE OREJAS (POCILLOS);abr-23;abr-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
52;MULTIPRO;30 LIBRAS;VACIADO DE OREJAS (POCILLOS);abr-23;abr-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
